7米挑空 1100平 带泳池直接入住!装修高标准 新出精装 ,6499万,894平方米,中央别墅区-机场高速杨林出口西行800米。
 安家.西三旗、知本时代东南两居满5年、带电梯新小区靠谱出售,570万,97.73平方米,西三旗-西三旗环岛东2000米
 天时名苑中层东南北一居室+客厅卧室带阳台+通州北苑站出口,368万,67.81平方米,通州北苑-通州北苑城铁旁杨庄北里
 芳古园一区 无遮挡 南北明厨明卫 南北通透户型,560万,79平方米,方庄-芳群路与蒲方路交汇处北行100米路西
 西三环内 八一湖玉渊潭旁 柳林馆南里塔楼西南大两居室 诚售,696万,73.3平方米,公主坟-西三环中路与玉渊潭南路交叉点东南角
 加州水郡西区+南向+正规大一居+可改两局,220万,65.72平方米,长阳-京周路和京良路交汇处西南角(华冠天地西侧)
 十号线 一居 诚售 看房随时,285万,52.17平方米,赵公口-光彩路65号院
 08年 商品房社区 板楼 南北双线通透 一梯两户 双卫生间,950万,103.28平方米,广渠门内-白桥大街10号(东便门桥东南300米)
 (单价4.6万)(全明结构)(户型正)我有钥匙 房 丽泽,448万,96.31平方米,玉泉营-丰桥路7号院
 动物园宿舍 低楼层二居室,480万,57.19平方米,西直门外-北下关街道北侧
 望京+金隅丽港城+东向一居室+户型方正+没有浪费+交通便利,448万,56平方米,望京-望京南湖南路15号院(南湖南路花家地西里)
 香河香城郦舍通透三居精装有本满二随时看房,160万,101平方米,香河-京沈高速香河出口南2000米路东
 朝阳双桥 地铁八通线 国泰百货 东星购物广场 两居复试,430万,112平方米,通惠河南路向西400米双桥-京通快速路双桥出口 
 国贸 实价+好房 建外 正南向 四居 仅售790万,790万,172平方米,国贸-东三环中路39号
 崇文门 东环居苑 1室出售 户型方正 朝南朝向,520万,62.35平方米,广渠门内-忠实里南街与忠实里四巷交汇处东行90米(北京
户型不错价格好碧波园的大三居两卫边户 好房子好房子 ,408万,145.23平方米,长阳-长阳路与东环路交汇处西行170米路南(房山区
1550万可谈带露台带车位南北通透复式四居室 嘉铭桐城 ,1750万,207.39平方米,亚运村小营-亚运村小营北苑路86号
 新出 西向两居室 低楼层 不临街 无遮挡 看房方便 价格可聊,790万,99.76平方米,望京-宏泰西街与阜安路交叉点西南角
 中粮祥云南区 户型2居南北通透 满二年 楼层好 视野佳,650万,113.06平方米,新国展北侧后沙峪-中央别墅区 
 丽都水岸新出三居带大花园自改明卫双卧朝南,1390万,150平方米,酒仙桥路甲12号酒仙桥-东风北桥北 
 西城德胜门新外大街6号院育翔两居室采光好 楼龄新 公房 看房方便,820万,68.7平方米,德胜门-德胜门外大街(马甸桥西南角)
 城建琨廷三居室诚心出售,360万,114.61平方米,窦店-提香草堂高尔夫球场西侧1.4公里
 甘家口 增光路 国务院事务管理局 央产,1238万,110平方米,航天桥-西三环航天桥增光路甲51号院
 瑞安君汇 1室出售 户型方正 朝南 业主诚意出售,1000万,83.9平方米,三里屯-工体北路4号
带装修价格可谈小营福美苑南向一居 收费1.88交易不成全额退 ,352万,52.07平方米,上地-营福路9号院
高楼层采光好 融科钧庭、精装修大两居、眼睛户型、高原值 ,380万,102平方米,马驹桥-马驹桥一号桥南50米
 昌盛园二区 三阳开泰 三居两卫,488万,136.6平方米,龙水路西昌平县城-北京市昌平区昌盛路东侧 
 龙博苑二区 精装小两居 中间楼层 满五一套,395万,79.89平方米,回龙观-文华路与黄平路交叉点西南角
 2层!单价4万!集中供暖!诚心出售!东风!!顺义裕龙六区,449万,109.86平方米,顺义城-裕龙二街与顺康路交叉口东南角
实用200平 精装 拎包.入住.看有钥匙 海德堡花园新出房源 ,700万,171.4平方米,北七家-定泗路京承高速北七家出口1公里
现房发售混合贷支持公积金贷 70年大产权 ,280万,113平方米,窦店-提香草堂高尔夫球场西侧1.4公里
 马甸南村 带电梯三居 中间层 满五年公房 税费低!看房方便!,960万,82.2平方米,德胜门-德胜门外大街(马甸桥西南角)
 南宫雅苑南北通透中层 精装三居室125平米诚售438万,460万,125平方米,云岗-丰台区云岗南宫
 中弘北京像素 通透户型 5.48高 业主诚售 看房随时,243万,57平方米,常营-五里桥一街一号院(朝阳北路6号线草房站)
 新!龙跃苑三区+三居两卫+40�O客厅+不临街道+价格可聊!,482万,141.12平方米,回龙观-文华东路32号
位置楼层好邻17号线天通苑东站楼下公园 东二区75�O1居 ,320万,75.1平方米,天通苑-天通苑社区东南角部
 金融街 西单 金宸南北通透五居 满五年业主在京仅一套住宅,3780万,296.66平方米,金融街-广成街4号院
 亦庄里单价低 改善型 精装修的一居室业主自己住看房随时,268万,54.66平方米,亦庄-亦庄经济技术开发区贵园南里
 开发商直售 天悦壹号 万达广场旁 同金府大院 德贤公馆随时看,980万,138平方米,新发地-南四环地铁新宫站南500米
 和美紫晶花园一手房 单价13000 套数多可选房 环境好 折扣多,120万,88平方米,固安-新中西街
 香江花园联排/地上三层/东西通透/花园车库会所好,1800万,199.73平方米,孙河-京顺路香江北路1号
 政府核心商务区 纯社区 2012年楼盘 运河湾 两居 满五,535万,88平方米,武夷花园-运河东岸奥体公园南侧
 朝阳门内南北通透二居带电梯满五年税费低诚意出售看房便利,680万,76.42平方米,朝阳门内-朝阳门南小街东侧
 户型不错+私密性比较好+视野也好+满五年税少+带车位,830万,131.65平方米,亚运村-亚运村安立路56号
 仅.此一套 特价 老客户委托置换 别墅品质 低于市场价150万,1160万,233.3平方米,亦庄-东五环大羊坊桥东南角
 (感恩回馈 收费1.5)直观小区中心花园 高楼层视野开阔 无遮挡,420万,55.67平方米,岳各庄-大成路与青塔西路交汇处东行200米路南
 椿树园小区 2室出售 户型方正 东西通透朝向,750万,66平方米,宣武门-西草厂街椿树园(宣武门外大街东100米)
 南区视野好 高层满两年 三卧室朝南 大阳台,1980万,226.42平方米,西北旺-西北旺镇永丰路与后厂村路交界东南角
 三义东里 东南两居 楼下地铁口 满五年,550万,58.13平方米,马连道-马连道北街与马连道路路口以东150米路北
置换诚售出行方便采光好带电梯满五一套 地铁良乡南关站 ,330万,119.83平方米,良乡-房山区拱辰南大街93号
有钥匙随时看房三居室130万 潮白河孔雀城英国宫十期2加1 ,130万,87平方米,大厂-通州东潮白河畔(距国贸30公里)
 中.介.费1个点 长安新城板楼 南北通透两居室 商品房,575万,96.85平方米,青塔-大成路与青塔西路交汇处西行170米路南
 三里屯瑞安君汇全南向8层178平2200万业主诚卖价格谈 低税费,2199万,178平方米,三里屯-工体北路4号
 确认过眼神.你就是买房的人.外地人可买.首尔甜城铁800米,100万,73平方米,燕郊-燕郊开发区燕顺路西侧
业主诚售看房方便南北通透两居 21推荐 十号线三环新城 ,515万,90平方米,玉泉营-丰桥路7号院
 领秀翡翠墅双拼别墅灵动空间一手全程陪看,1330万,270平方米,丰台体育馆-丰台王佐镇青龙湖南侧
莱蒙湖不临路花园300钥匙房税全南向 全房地暖 ,2950万,530平方米,新国展正门对面中央别墅区-后沙峪乡白辛庄村南 
 窦店镇 田家园 满五且一套 精装 二层 温馨小两居室出售 随时看房,178万,74.03平方米,大窦窦店-房山区窦店镇田家园小区(窦店镇镇政府北 
 西三环丽泽金融区 内城稀.缺双拼别墅 毛坯中.介.费1.6,5700万,492平方米,西局东方威尼斯酒店西侧(丽泽桥-西三环丽泽桥西北角 
 1230万 四居室 装修好 大花园 临鼎石 全地暖 随时看,1230万,320平方米,中央别墅区-顺义后沙峪温榆河畔罗马环岛以北1000米处
 西红门4 号 线兴都苑 南北通透 诚心出售 电梯房 急 售,450万,118.72平方米,京开高速路西侧300米西红门-西红门宏都路南侧 
 拥金1.2 房价可大议 西马金润南北通透两居 满五年,506万,92.6平方米,马家堡-角门南路与马家堡路交汇处东行230米路南
 双井 首城国际 观小区花园 南北小三居 景观好 诚意卖,820万,89.77平方米,双井-广渠路36号院
诚心出售!!满五两居南北通透 真实在售!卢沟桥晓月苑一里 ,280万,72.14平方米,卢沟桥-晓月苑垂虹街7号 晓月中路5号院(晓月中路东
满五1套!落地观景飘窗带明卫观景两居 澳林国际 ,815万,111.77平方米,奥林匹克公园-朝阳区林萃西里林萃路与科荟路交汇处西北角
 绿地新都会+南向两居+满2年+精装修+业主诚心出售,303万,85.43平方米,长阳-长阳镇广阳西路南侧(京周路与长阳路交叉路口东
 刚降100万 独栋 500平花园 集中供暖 一层带卧室 满五年 无,1300万,217平方米,北七家-北七家镇平西府路口往西100米
 新出嘉浩1680万二次装修独栋 5居室 地暖 采光好 位置佳,1680万,270平方米,榆阳路5号新国展对面中央别墅区-沙峪镇白辛庄 
 社区好 环境幽静 北京洋房精装中叠168平650万 赠送30平大阳台,648万,168平方米,北七家-北七家镇海青落湖七星路西侧
诚意出售!装修保持可改3居室满五年维一 高层东南向 ,558万,114平方米,城铁八通线广播学院站南定福庄-朝阳区建国路18号 
 燕化星城二里两室两厅一卫出售,198万,77.74平方米,燕山-京周路南侧星城健德二里
 融华世家 4室 231.9平 南北通透大四居 次次顶层 观景,2400万,231.9平方米,亚运村小营-大屯路224号(北苑路与小营路交汇处)
 收费1.88交易不成全额退 随时看房 业主急售 繁华地段 满五,680万,96平方米,清河-八达岭高速清河桥西南角
观景南北通透新房公园1872十里堡欧式白色装修 1点5 ,1600万,194平方米,东八里庄-朝阳北路与石佛营路交叉点向西200米路北
 大兴旧宫 万科朗润园 精装三居 带车位 中介费 一个点,860万,135平方米,旧宫-四环肖村桥南3公里(地铁5号线旧宫站西南20
 远洋公馆256三居 中高层无遮挡 有钥匙看房方便 满两年,3249万,256平方米,望京-阜通东大街(保利万和电影院向北100米、大望
 嘉铭急卖+可给周期三居 明厨明卫满五 一套房 大屯东站,1058万,122.98平方米,亚运村小营-亚运村小营北苑路86号
 拥金1.2%房价可大议 小区中心花园 户型,1000万,146平方米,马家堡-嘉园路与公益西街交汇处北行60米路东
随时看着急卖高层视野好全天采光 富力城区高层西南大三居 ,1430万,137.78平方米,双井-惠力路与天力街交叉点东南角
让您的生活充满乐趣 (业主推荐)温泉入户墅级一梯两户洋房 ,80万,85平方米,固安-固安106国道牛驼桥北侧小路向东500米
临水系南入户三面花园700平米毛坯 二期独栋满五年 ,3800万,814平方米,北七家-北七家出口1000米定泗路88号
 逸翠园 毛坯四居室 随时看房有钥匙 满两年诚意出售!!,1880万,236.71平方米,朝青-朝阳体育中心西路与姚家园北一路交叉点西南角
 真房实价!卢沟桥沸城 少见好房 满五 户型合理 视野开阔 带露台,455万,91.55平方米,卢沟桥-晓月六里、晓月七里、晓月八里
 奥森匹克公园旁 世茂奥临 前排观景四居 电梯刷卡入户,2180万,264.93平方米,北苑-北京市朝阳区清林路一号
 御翠尚府 中间位置三居 八角窗花园露台 三卧朝南 南北通透,2100万,243.93平方米,活力东方OUT朝青-朝阳姚家园路与青年路交口东北 
 蓬莱西区 275万 就出售 看房随时 急售!,275万,85.49平方米,北七家北七家-立汤路定泗路交叉口向北1.5公里路东 
 1294户就它装修蕞好,2850万,241平方米,朝阳公园-朝阳公园南路8号院
 南北大一居室 卧室客厅朝南 值得拥有,870万,80.09平方米,双井-北京市朝阳区东三环中路35号
 西南两居+有钥匙+首付400可包+价格大力可谈+不临街满五年给周期,675万,92.33平方米,劲松-东三环南路54号院
 德茂小区02年建成楼栋落地窗南北通透格局中间楼层,365万,89.78平方米,旧宫-旧宫镇德茂庄德茂街1号
已50万低总价 4个卧室 业主 顺义联排别墅 ,660万,242.2平方米,马坡-昌金路南北小营镇中学北侧
好别墅交通和生活便利千余户大型墅区 急售了)京城小镇 ,650万,275平方米,怀柔-京承高速14出口(怀柔城区方向)500米
明厨明卫 可改两居室 不临街 东北方正户型 首付150万 ,382万,67.15平方米,朝阳路7号院(管庄地区杨闸环岛管庄-朝阳路5号院 
 对接业主、1000万装修带车库、4环内海淀别墅、颐和原著书院,8200万,498平方米,万柳-万柳华府海园10号
 北京通州东 燕郊首付十万 铁房 现房送精装修大产权直接网签,125万,70平方米,燕郊-北京东燕郊经济技术开发区燕顺路东侧
 玫瑰园小独栋 赠送装修 户型 边配套成熟 生活方便,1490万,272平方米,沙河-沙河镇北八达岭高速路22出口沙河镇小寨村
 低总价36平/95万 广阳城地铁口精装现房,95万,36平方米,良乡-良乡大学城北站路口50米
 珠江豪装别墅、200平米花园、低于市场价80万 限时抛售!,850万,277.19平方米,马驹桥-马驹桥1号桥西南角
 领秀慧谷 精装修次顶层两居室 业主换房急售 随时看房,520万,86平方米,辛庄回龙观-京藏高速(原八达岭高速)和北清路交汇处 
 万象府 新上南北三居室 开发商统一修 不临街 给周期,1460万,146.61平方米,清河-清河中街与学附树中街交汇处西行140米路北
 天通中苑南北通透双卫大两居 高原值低楼层有钥匙 板楼2层,400万,104.02平方米,天通苑-太平庄中二街与立水桥东一路交汇处东南角
 东关南里+三居两卫+环保精装修+中间楼层+车位充足+采光好,480万,123.75平方米,昌平县城-南环东路和亢山路交汇处西北角(北京化工大学北
 爱家优选!金融街融汇 经典正规1居 精装修 诚心出售,252万,52.24平方米,生物医药基地-新城核心区地铁天宫院站北侧300米
您自己看吧这个楼层这个装修这个价钱这个户型 这个面积 ,305万,55.6平方米,木樨园-南三环赵公口长途汽车站对面
 只发真实 温哥华 挑空南客厅 使用面积600平 精装,1650万,416.9平方米,北七家建材城向北第一个路北七家-北五环外紧邻立汤路 
欢乐谷配套满5年一套南两梯四户商品房 新上!东四环 ,535万,113.43平方米,垡头-京沈高速东四环第一出口往南800米
赠送+3车位观景大平层 不临街低楼层4居 ,1888万,190.41平方米,西山-四季青桥南旱河路301号院
 碧海方舟 4室出售 户型方正 南北通透朝向,19000万,827平方米,亚运村小营-鼎成路6号
月租稳收4万可看万科豪装商务住宅 2套首付50核心区观五河景观 ,750万,136平方米,CBD-北京市朝阳区东三环中路甲10号
 3全景好房 南北两室 中间楼层 满五年 税少,340万,70.1平方米,沙河-沙河镇高教园区三期A区
 龙博苑二区 南北通透朝向 2室 不临街,420万,81.54平方米,回龙观-文华路与黄平路交叉点西南角
随时签约满五年视野开阔 精装修大三居 ,393万,145.59平方米,天通苑-昌平区太平庄东一路16号(太平庄东路与太平庄
精装修 平层三居 南北通透 三轨交汇 新出万科翡翠四季 ,676万,128平方米,次渠-东五环京津高速东石村桥东南700米(京津高速
 誉天下 无遮挡 看房方便,1980万,385平方米,天竺-天竺镇薛大人庄村
 诗景长安 南北通透三居室 中间楼层,850万,141.93平方米,鲁谷-鲁谷南路20号院
 金融街 工总行家属院 丰汇园 丰融园 南北三居,3150万,159.2平方米,金融街-太平桥大街84号(政协礼堂斜对面)
随时可以看房全款215万 50平加50平 草房站 ,215万,51平方米,常营-五里桥一街一号院(朝阳北路6号线草房站)
典藏生活 军人品质 为您把关 世界温泉养生小镇 ,270万,186平方米,固安-京南温泉休闲商务产业园区(106国道和金海街
 北京华侨城南北通透小三居送80平私家大露台,1100万,136.36平方米,欢乐谷-东四环四方桥京沈辅路南侧小武基北路
东南两居室 满五带电梯 新上房源石景山区 苹果园 楼龄新 ,240万,55.7平方米,金顶街-金顶街与金顶南路交汇处东北角
 满五年 南北通透 二层 落地窗采光好,309万,79.01平方米,顺义城-府前东街北200米
 银河湾 玉石精装 送阁楼 送无遮挡视野 送实惠价格,840万,170平方米,次渠-东五环化工桥京津高速2A出口南行1000米(
 丽水嘉园 1室 73.94平 朝南 临 看公园 有钥匙,648万,73.94平方米,朝阳公园-朝阳公园南路与甜水园东街交叉点西南角
 西城区(一层带花园)南北3居室 报价2650万(在售就一套),2550万,178平方米,陶然亭-太平街8号(陶然亭公园西侧)
 亚林西 地铁西铁营 二环至三环 万达广场 洋房品质 急售刚需房,565万,87平方米,菜户营-西铁营中路西铁营中路8号院/ 西铁营中路9号
 拥金1.2房价可大议四居室 满五年 全明格局,950万,151.7平方米,马家堡-嘉园路与公益西街交汇处北行60米路东
看房约诚意出售业主换房户型方正华业南北三居室 满两年 ,750万,123.73平方米,距临河里地铁站仅400米梨园-梨园镇 
金三楼层 壹号院不临街精装3居室带1车位 ,2050万,181.14平方米,西北旺-圆明园西路药用植物园北侧
 东南向3居室 主卧室是明卫 客厅和次卧室朝南,765万,134.6平方米,高碑店-建国路29号
 东二环地标东房银座使用 都很舒适 朝南采光好,850万,107平方米,东直门-东直门外大街48号(城铁东直门站东南角)
 领秀慧谷 精装修南北通透三居室 满五 地铁朱辛庄站,420万,89平方米,辛庄回龙观-京藏高速(原八达岭高速)和北清路交汇处 
不临街又要收 望京西单价8万洋房四居室 ,1650万,204平方米,望京-望京南湖西园
 通州台湖 总价120万 4.2米高 万科开发 3高速3地铁1,120万,32平方米,次渠-东五环京津高速东石村桥东南700米(京津高速
 京科苑 明厨明卫 天然气入户 低均摊 诚意出售,240万,62.2平方米,昌平县城-昌平区昌平镇昌盛路3号
 中苑 电梯两居 户型方正 全明户型 商品房,445万,101.08平方米,天通苑-太平庄中二街与立水桥东一路交汇处东南角
 世界新名片万科大都会滨江 所有户型找我立减175万买了就,980万,132平方米,CBD-北京市朝阳区东三环中路甲10号
 明厨明卫高层观景 保养如新 地暖加新风 闹中取静,1480万,177.6平方米,东八里庄-朝阳北路与石佛营路交叉点向西200米路北
 劲爆消息!6号楼再出好房 二次装修 高层观景 送600万家私,5000万,439.68平方米,燕莎-四环内霄云路8号
公园1872!元宝户型观红领巾湖心3年出一套 满二税少 ,2650万,273.21平方米,东八里庄-朝阳北路与石佛营路交叉点向西200米路北
 橡树湾 南北三居室 高层观景 精装修 视野开阔 前后花园,1600万,178平方米,清河-清河中街与学附树中街交汇处西行140米路北
 新出宏庙小.学 金融街 南北通透三居 带阳台 满五年单.价低,2300万,147平方米,金融街-太平桥大街84号(政协礼堂斜对面)
 中堂阅园+东南北3居+落地窗+采光好+视野好+明厨明卫+四环,945万,137.75平方米,京石高速-西四环中路112号
 南北通透 复式三居室 大露台自改一半 生活舒适度高,680万,152.89平方米,通州北苑-北苑环岛西200米路南
 注意:只收一个点物资部大院1997年建成大一居57米710万,710万,56.9平方米,月坛-月坛北街25号
就一套啊!带花园车库新房手续工抵房 注意!关系户预留的 ,1300万,380平方米,中央别墅区-京承高速8号出口路东
大产权小+时尚餐饮房源 辛集国际皮革城均价1.4万 ,81.8万,67平方米,大厂-廊坊国贸正东、潮白河友谊大桥东侧100米
1700600平南花园可自装电梯全明地下室 珠江壹仟栋 ,1700万,460平方米,立汤路定泗路口向西两公里北七家-北七家 
 精装修双阳台通透三居室 满五年业主一套住房,400万,149平方米,天通苑-太平庄中二街与立汤路交汇处西北角
长城脚下饮马川190万 1室1厅1卫 豪华装修 业主诚心出售 ,190万,65平方米,密云果园-古北水镇旁
 预约可看+高层观景+东南朝向+大落地飘窗+充足储物间+国贸,1080万,114.41平方米,大望路-北京市朝阳区西大望路3号
 开发商清退房源手慢无 来电享团购价 一梯一户中国铁建花语金郡,888万,185平方米,亦庄-南海子公园西侧(南五环旧忠桥向南第二个红绿灯
 金科二期电梯房 精装修 眼.镜.房 三居室 售价499万,500万,130平方米,小汤山-小汤山九华山庄东300米路南
随时交易随时入住!300万精装修全新房 高层边户大四居 ,1879万,230平方米,望京-朝阳区京密路与京平辅路交叉口西行1.5公里
 七家 南向 正规一居室 全明格局 方正客厅 带阳台 使用方便,175万,62.25平方米,黄村东-采育镇育盛街与福源路交叉路口南侧(葡萄庄园南
朱雀门陶然亭公园安静不临街 一瓶小区南北通透两居室 ,1470万,113平方米,陶然亭-陶然亭路2号
首付135万办完满五一套 (收费1.5)旧宫美然绿色家园南北3居 ,350万,79平方米,旧宫-旧宫镇旧忠路14号
 阜石路向阳楼双峪大峪位置很好交通便利,195万,46.29平方米,大峪-门头沟区双峪路1号
 金融街 工总行家属楼 丰融园 精装修 南北两居 出售 带电梯!,2400万,120平方米,金融街-太平桥大街45号
 御汤山熙园 温泉入户 使用面积500平 350平花园 客厅7米挑空,1280万,315平方米,距离北六环61紧邻立汤路小汤山-小汤山疗养院东侧 
 行宫御东园 好装修 电梯观景房 独立两室 配套齐全 物业管理完善,225万,83平方米,宾阳-新北路南侧、行宫街东侧
 九州 隆盛西园 毛坯两居室 正规户型 满五年 有钥匙,215万,83平方米,庞各庄-庞各庄瓜乡桥向西100米
 南二环方庄紫芳园 东南小两居 精装满五年一套,450万,60.77平方米,方庄-紫芳路与方庄东路交汇处西南角(方庄地铁站C口
270万年底交房均价21000 小别墅送精装修 ,270万,127平方米,其他-102国道与福喜路路口南侧
空置随时看西侧观山三面阳台单价8.2万 新出 ,2450万,297平方米,西北旺-西北旺镇永丰路与后厂村路交界东南角
 中信墅 联排别墅286平 3居室 装修保养好带院子,1786万,286平方米,亦庄-亦庄经济技术开发区三海子东路南海子公园路北
高楼层视野好客厅宽敞装修好商品社区 富贵园一区 ,2310万,231平方米,东花市-广渠门内东花市南里一区(广渠门桥西300米路
 临地铁东南四环别墅住宅德式风格 高原值 四室五卫,1550万,273.94平方米,十八里店-南四环外红坊路6号
 方庄+配套完善 地理位置好+使用面积高 南向采光好,310万,43.53平方米,方庄-群星路与蒲黄榆路交汇处东行110米路两侧
私梯入户恒温恒湿方正三居室 70户就一套在卖!西南高层 ,2800万,231.37平方米,香河园东直门-东直门香河园路1号院(香河园中街南侧 
 东三环内 2014年新盘 地暖加新风 南向面宽18米 高层,4300万,352.93平方米,三里屯-工体北路4号
 北京城建琨廷缇漫 花园电梯洋房 精装修 楼层好采光好 急,260万,101平方米,窦店-提香草堂高尔夫球场西侧1.4公里
 亦庄 旧宫 亦庄北岸 2室 63.32平 西北 朝向,330万,63.32平方米,旧宫-旧宫镇旧头路路南(南五环亦庄桥南300米凉水
 东城 崇文门 都市馨园 全南一居 低楼层 满五年一套房 全天采光,518万,54平方米,崇文门-祈年大街与珠市口东大街交汇处北行80米路东(
 (新出)二环内 西城区 四/七号线 中信沁园 南向观景房,1450万,91.06平方米,陶然亭-两广大街与菜市口南大街交叉口东南角
 西山林语南向大一居 弧形大阳台 观景好 满五年,440万,68.04平方米,西北旺-西北旺镇冷泉村
 内部留存 城内别墅 叁环8墅 同看鲁美别墅 中粮瑞府 格拉斯,5750万,620平方米,西局东方威尼斯酒店西侧(丽泽桥-西三环丽泽桥西北角 
 首创天禧 全新南北东三面采光 看国贸中国尊,6333万,392平方米,CBD-东三环中路与朝阳路交叉点向东300米路北
 诚意出售七零九零 全新装修 品质社区 全南一居 采光好,353万,72.22平方米,梨园-梨园南街与易达路交叉点向南500米路东
 南北双通透 丽泽金融商务区 人车分流 910号六里桥,860万,92平方米,丽泽桥-六里桥南西局西路58号院
 双十一特惠2十里春风 首付80万得三居 洛户北京,228万,89平方米,次渠-永乐店小甸屯村百莱玛工业园对面
 看房有钥匙诚意出售有本中楼层精装三居 花园式洋房 ,520万,100平方米,亦庄-亦庄・南海子公园东南1000米
一层东花市北里东区南北东 三居室 有钥匙 崇文门 ,985万,100.86平方米,东花市-东花市大街与南花市大街交汇处东北角
 澳林春天三期+南北双卫两居室+看房有钥匙+不临街+毗邻奥森,965万,120.86平方米,奥林匹克公园-朝阳区林萃西里林萃路与科荟路交汇处西北角
 二期靠谱出售南北通透两居室 中间楼层 位置好格 格局方正,620万,103.18平方米,管庄-北京市朝阳区朝阳北路22号院
 大型南中轴路华远和墅新中式联排现房298平米1480万!!,1530万,298平方米,黄村东-南六环磁各庄桥沿南中轴向南2公里
 〖我刚带看过〗 二期洋房复式 带电梯少有户型 〖价格可大谈〗,1800万,245.2平方米,西北旺-西北旺镇区永丰路西百旺新城
近高尔夫球场 北京壹号庄园是您宜居的场所 温榆河天然河环绕 ,5500万,795平方米,京承高速北七家出口直行北七家-北七家镇定泗路88号 
 房主诚意出售 看房方便,410万,130平方米,长阳-长阳镇广阳西路南侧(京周路与长阳路交叉路口东
 西山林语二期 人车分流 南北通透两居 满五年,580万,89.3平方米,西北旺-西北旺镇冷泉村
 圣世一品 有钥匙随时看 东南小三居客厅朝南无遮挡看花园总价低,1400万,171平方米,三里屯-向军北里28号院
 西山华府望海阁4居+100平花园+一车位+邻壹号院如园,2980万,262.41平方米,马连洼-马连洼北路与竹园中街交汇处南行150米路两侧
 东二环+东直门+东四十条+海运仓+史家分+大三居+格局方正,926万,88.01平方米,东四十条-东四十条附近南颂年胡同
 水关新村 低楼层 带独立客厅 不临街不把边 随时看房,375万,85平方米,昌平县城-富康路与振兴路路口以北约100米路西
 泛海世家 4室出售 户型方正 南北通透朝向,5600万,372平方米,朝阳公园-北京朝阳区朝阳公园东华章东路1号
同户型钥匙房会所7面采光南花园500平 样板间户型 ,4499万,612.89平方米,观唐东路观唐花园孙河-和平路8号(东郊农场中心区 
 华侨城和园 南北3居室 智能家居一键控 签单有优惠房源有限,750万,120平方米,亦庄-五环南海子公园西
 崇文门 临铁房 全南两居 双阳台 精装修 满五一套,690万,72.7平方米,崇文门-祈年大街与珠市口东大街交汇处北行80米路东(
 急售!华侨城南北通透三居 满五年 有钥匙看房方便,1250万,170平方米,欢乐谷-东四环四方桥京沈辅路南侧小武基北路
270度采光600万钛马赫装修 287平在售就这一套 ,3599万,287.7平方米,奥林匹克公园-林萃东路1号院
花园300平200平地下室户型舒适三卧朝阳 橘郡独栋 ,1350万,241平方米,小汤山-亚运村正北方向16公里
 幸福我家团结湖328万两居室 电梯房 双朝南 无浪费,328万,49.59平方米,团结湖-长虹桥东600米农展馆南路往南
 收费1.88交易不成全额退 强佑两居室 交通便利,630万,82.05平方米,清河-八达岭高速清河桥西南角
首套精装修明厨明卫 推荐:中介费1.5% 温泉花园大三居 ,310万,131.05平方米,北七家-北七家镇东沙各庄村
 珠江三期新出独栋 方方正正大花园 看房有钥匙,1800万,460平方米,立汤路定泗路口向西两公里北七家-北七家 
 望京 14号线 朝庭 高层 新世界百货 嘉美风尚,860万,112平方米,望京-阜荣街8号院
看房随时335平1650万精装修纯地上两层独栋 珠江一期 ,1650万,335平方米,立汤路定泗路口向西两公里北七家-北七家 
 在线+08年商品+保利高层开间+满二年+原值高+上培新+幸福家园,455万,40.77平方米,广渠门内-培新街9号院
 环渤海总部基地通州泰禾拾�Z园开发商领导内留一手新房现房别墅,696万,129平方米,次渠-亦庄光机电产业基地核心区
 顺义新城区 嘉都国际 新望京 近地铁 环境优美,116万,91平方米,燕郊-京平高速木燕路(北务出口)东500米
 地铁口 宋家具家电 拎包入住 小户型精装修 随时看房,27万,7平方米,沙阳璐北侧上地-上庄镇中心 
 长阳半岛明厨明卫南北双通透 经典户型 满五 接受贷款客户随时看,320万,89平方米,长阳-长政南街6号院
 太阳宫 南北大三居 高层安静看花园 免征个税 有钥匙,1280万,148.66平方米,太阳宫-西坝河东里2号院
 高层两居室、看房随时、诚意出售、餐客分离、采光通风好,800万,80.16平方米,公主坟-西三环羊坊店翠微路4号院
 德贤公馆我客户清退房源 低于售楼处200万 楼旺户型你 本周必卖,1090万,186平方米,旧宫-南四环榴乡桥东南角800米
诚心售毛坯现房 新上华龙美钰、清芷园西南向两居 ,944万,89.95平方米,右安门内-南二环半步桥60号
 南宫温泉地热博览园旁低密度墅质洋房,663万,153平方米,京石高速-王佐镇长青路南侧
 光彩国际四居室+观景好高楼层+采光通风效果好+,2200万,272.9平方米,工体-朝阳区工人体育场西路18号
 南北通透小板楼+双卧朝南+明厨明卫+户型方正+小区环境好+带车位,350万,63.6平方米,方庄-群星路与蒲黄榆路交汇处东行110米路两侧
可直接入住保养如新全屋地暖 新出开发商样板间装修 ,3499万,399.78平方米,来广营-水岸庄园100号
正规南向一居首付95万总价186万 新出珠江一居室 ,186万,56平方米,马驹桥-马驹桥国家环保产业园区A1
 西北旺中高层 南北通透三居室 全明格局 看房便利 品牌家装,990万,121.44平方米,西北旺-西北旺百望山公园北侧
看房方便。环境好看长河观公园居家新装 人济山庄 ,1430万,140.57平方米,紫竹桥-白石桥路45号
